email_text,intent,tags
can you help me with the crm subscription price for our company,Demo Request,"Demo,Sales"
please help with the dashboard issue for our company,Not Interested,Unsubscribe
i need assistance with the account setup help for our internal tools,Complaint,"Complaint,Support"
i want to understand the pricing details for our company,Pricing Inquiry,"Pricing,Sales"
i want to understand the dashboard issue for our internal tools,Demo Request,"Demo,Sales"
can you explain the unsubscribe request as soon as possible,Complaint,"Complaint,Support"
i need assistance with the stop promotional emails this week,General Question,"Question,General"
please provide the pricing details for our internal tools,General Question,"Question,General"
i need assistance with the live demo session for our sales department,Not Interested,Unsubscribe
could you share the password reset for our company,Support Request,"Support,Technical"
could you share the pricing details as soon as possible,Demo Request,"Demo,Sales"
please help with the unsubscribe request for evaluation purposes,Pricing Inquiry,"Pricing,Sales"
i want to understand the account setup help for our startup team,General Question,"Question,General"
i want to understand the account setup help for our sales department,Complaint,"Complaint,Support"
i would like to know the api availability for our sales department,Pricing Inquiry,"Pricing,Sales"
i need assistance with the platform walkthrough for our organization,Support Request,"Support,Technical"
could you share the unsubscribe request for our startup team,Not Interested,Unsubscribe
could you share the dashboard issue as soon as possible,Pricing Inquiry,"Pricing,Sales"
kindly send the dashboard issue for our sales department,Pricing Inquiry,"Pricing,Sales"
kindly send the enterprise plan cost for our sales department,General Question,"Question,General"
i want to understand the account setup help for evaluation purposes,General Question,"Question,General"
please provide the api availability before we make a decision,Support Request,"Support,Technical"
can you explain the integration options for our company,Pricing Inquiry,"Pricing,Sales"
kindly send the account setup help for our company,General Question,"Question,General"
i would like to know the system error before we make a decision,Demo Request,"Demo,Sales"
i need assistance with the crm subscription price for our sales department,Demo Request,"Demo,Sales"
please help with the enterprise plan cost before we make a decision,Not Interested,Unsubscribe
please help with the remove from mailing list as soon as possible,Demo Request,"Demo,Sales"
i need assistance with the integration options as soon as possible,Pricing Inquiry,"Pricing,Sales"
kindly send the remove from mailing list for our organization,General Question,"Question,General"
please provide the api availability for our internal tools,Support Request,"Support,Technical"
can you explain the third party integrations for our startup team,Not Interested,Unsubscribe
kindly send the integration options for our sales department,Demo Request,"Demo,Sales"
i need assistance with the third party integrations for our startup team,General Question,"Question,General"
i need assistance with the platform walkthrough before we make a decision,General Question,"Question,General"
i would like to know the platform walkthrough for our organization,Pricing Inquiry,"Pricing,Sales"
i need assistance with the stop promotional emails for our sales department,Pricing Inquiry,"Pricing,Sales"
could you share the account setup help for our organization,General Question,"Question,General"
i want to understand the password reset for evaluation purposes,Demo Request,"Demo,Sales"
i want to understand the dashboard issue before we make a decision,General Question,"Question,General"
please provide the technical configuration help for our startup team,Not Interested,Unsubscribe
i would like to know the account setup help as soon as possible,Support Request,"Support,Technical"
i want to understand the system error for our internal tools,Support Request,"Support,Technical"
could you share the login problem for evaluation purposes,Pricing Inquiry,"Pricing,Sales"
can you explain the dashboard issue for our organization,Pricing Inquiry,"Pricing,Sales"
please provide the system error for our internal tools,Complaint,"Complaint,Support"
can you help me with the system error this week,Support Request,"Support,Technical"
could you share the technical configuration help this week,Complaint,"Complaint,Support"
i would like to know the stop promotional emails for our company,Support Request,"Support,Technical"
please help with the platform walkthrough for our company,Demo Request,"Demo,Sales"
please help with the product demo for our company,Pricing Inquiry,"Pricing,Sales"
i want to understand the api availability for our sales department,Not Interested,Unsubscribe
could you share the enterprise plan cost for our sales department,Pricing Inquiry,"Pricing,Sales"
can you explain the unsubscribe request before we make a decision,Support Request,"Support,Technical"
i need assistance with the system error for our company,Support Request,"Support,Technical"
i want to understand the password reset before we make a decision,Not Interested,Unsubscribe
can you explain the product demo as soon as possible,Support Request,"Support,Technical"
please provide the enterprise plan cost before we make a decision,General Question,"Question,General"
kindly send the third party integrations this week,Pricing Inquiry,"Pricing,Sales"
could you share the api availability for our sales department,Pricing Inquiry,"Pricing,Sales"
kindly send the remove from mailing list for our startup team,General Question,"Question,General"
kindly send the third party integrations for our organization,General Question,"Question,General"
please provide the product demo for evaluation purposes,Demo Request,"Demo,Sales"
can you help me with the dashboard issue for our sales department,General Question,"Question,General"
i need assistance with the unsubscribe request for our startup team,Demo Request,"Demo,Sales"
i would like to know the pricing details for our company,Demo Request,"Demo,Sales"
could you share the live demo session for our internal tools,Support Request,"Support,Technical"
can you explain the remove from mailing list for our sales department,Support Request,"Support,Technical"
i want to understand the remove from mailing list for our sales department,Support Request,"Support,Technical"
i need assistance with the login problem as soon as possible,Not Interested,Unsubscribe
i would like to know the pricing details before we make a decision,Complaint,"Complaint,Support"
i would like to know the remove from mailing list for our startup team,Demo Request,"Demo,Sales"
i would like to know the remove from mailing list for our organization,Pricing Inquiry,"Pricing,Sales"
could you share the platform walkthrough this week,General Question,"Question,General"
i would like to know the integration options before we make a decision,Not Interested,Unsubscribe
could you share the api availability for our internal tools,Not Interested,Unsubscribe
i need assistance with the pricing details for evaluation purposes,Pricing Inquiry,"Pricing,Sales"
kindly send the integration options for our company,Pricing Inquiry,"Pricing,Sales"
please help with the product demo as soon as possible,Pricing Inquiry,"Pricing,Sales"
please help with the third party integrations for our startup team,Demo Request,"Demo,Sales"
please help with the unsubscribe request before we make a decision,Not Interested,Unsubscribe
could you share the integration options before we make a decision,Demo Request,"Demo,Sales"
kindly send the system error for our internal tools,Support Request,"Support,Technical"
please help with the live demo session for evaluation purposes,Support Request,"Support,Technical"
could you share the stop promotional emails for our company,Pricing Inquiry,"Pricing,Sales"
please provide the password reset as soon as possible,Support Request,"Support,Technical"
i want to understand the product demo for our company,Complaint,"Complaint,Support"
kindly send the system error before we make a decision,Not Interested,Unsubscribe
please provide the remove from mailing list for our organization,Pricing Inquiry,"Pricing,Sales"
i need assistance with the password reset as soon as possible,Demo Request,"Demo,Sales"
could you share the password reset for our internal tools,Pricing Inquiry,"Pricing,Sales"
i would like to know the unsubscribe request this week,General Question,"Question,General"
can you help me with the system error for evaluation purposes,Not Interested,Unsubscribe
i want to understand the password reset for our organization,Support Request,"Support,Technical"
could you share the integration options for our organization,General Question,"Question,General"
could you share the platform walkthrough as soon as possible,Demo Request,"Demo,Sales"
i need assistance with the product demo this week,Pricing Inquiry,"Pricing,Sales"
can you explain the product demo for our sales department,Demo Request,"Demo,Sales"
i want to understand the technical configuration help as soon as possible,General Question,"Question,General"
please help with the system error for our sales department,Support Request,"Support,Technical"
can you help me with the password reset as soon as possible,General Question,"Question,General"
i would like to know the dashboard issue for our organization,General Question,"Question,General"
kindly send the technical configuration help for our organization,Support Request,"Support,Technical"
could you share the platform walkthrough before we make a decision,Not Interested,Unsubscribe
i want to understand the technical configuration help for our company,Demo Request,"Demo,Sales"
please provide the dashboard issue for our organization,Support Request,"Support,Technical"
i need assistance with the integration options this week,Not Interested,Unsubscribe
kindly send the technical configuration help for our internal tools,Demo Request,"Demo,Sales"
can you help me with the technical configuration help as soon as possible,Not Interested,Unsubscribe
could you share the account setup help before we make a decision,Complaint,"Complaint,Support"
please help with the password reset before we make a decision,General Question,"Question,General"
kindly send the password reset this week,General Question,"Question,General"
please provide the crm subscription price for our sales department,Pricing Inquiry,"Pricing,Sales"
kindly send the unsubscribe request before we make a decision,General Question,"Question,General"
please help with the remove from mailing list for our organization,General Question,"Question,General"
please provide the integration options for evaluation purposes,Support Request,"Support,Technical"
i need assistance with the unsubscribe request for our sales department,Not Interested,Unsubscribe
i would like to know the password reset for our sales department,Demo Request,"Demo,Sales"
please provide the product demo before we make a decision,Demo Request,"Demo,Sales"
can you help me with the technical configuration help for our startup team,Pricing Inquiry,"Pricing,Sales"
could you share the crm subscription price for our internal tools,Complaint,"Complaint,Support"
i need assistance with the account setup help for our organization,Complaint,"Complaint,Support"
please provide the dashboard issue for our internal tools,Pricing Inquiry,"Pricing,Sales"
please help with the pricing details as soon as possible,General Question,"Question,General"
i would like to know the account setup help this week,Support Request,"Support,Technical"
i need assistance with the platform walkthrough for our company,Complaint,"Complaint,Support"
please provide the third party integrations for our internal tools,Complaint,"Complaint,Support"
can you explain the technical configuration help as soon as possible,Complaint,"Complaint,Support"
please help with the platform walkthrough for evaluation purposes,General Question,"Question,General"
please help with the enterprise plan cost for our company,General Question,"Question,General"
could you share the system error for our internal tools,Pricing Inquiry,"Pricing,Sales"
could you share the remove from mailing list for our startup team,Pricing Inquiry,"Pricing,Sales"
please provide the crm subscription price for our organization,Not Interested,Unsubscribe
i would like to know the stop promotional emails for our startup team,General Question,"Question,General"
kindly send the api availability for our organization,Complaint,"Complaint,Support"
i want to understand the remove from mailing list as soon as possible,Pricing Inquiry,"Pricing,Sales"
can you help me with the login problem before we make a decision,Complaint,"Complaint,Support"
please help with the password reset for our internal tools,Complaint,"Complaint,Support"
could you share the product demo before we make a decision,Support Request,"Support,Technical"
can you help me with the product demo for our sales department,Pricing Inquiry,"Pricing,Sales"
i would like to know the integration options for our organization,Demo Request,"Demo,Sales"
i need assistance with the api availability as soon as possible,Not Interested,Unsubscribe
i want to understand the account setup help for our internal tools,Pricing Inquiry,"Pricing,Sales"
could you share the crm subscription price for our sales department,General Question,"Question,General"
i want to understand the pricing details for our startup team,Demo Request,"Demo,Sales"
please provide the api availability for our organization,Pricing Inquiry,"Pricing,Sales"
please help with the pricing details this week,Support Request,"Support,Technical"
can you explain the password reset as soon as possible,Support Request,"Support,Technical"
i need assistance with the technical configuration help before we make a decision,Complaint,"Complaint,Support"
could you share the api availability for our company,Complaint,"Complaint,Support"
i need assistance with the dashboard issue for evaluation purposes,Demo Request,"Demo,Sales"
please help with the api availability for evaluation purposes,Pricing Inquiry,"Pricing,Sales"
please provide the unsubscribe request as soon as possible,General Question,"Question,General"
i would like to know the login problem for evaluation purposes,Demo Request,"Demo,Sales"
could you share the unsubscribe request for our company,Demo Request,"Demo,Sales"
please help with the platform walkthrough for our sales department,Pricing Inquiry,"Pricing,Sales"
can you explain the technical configuration help for our company,General Question,"Question,General"
i want to understand the platform walkthrough for our sales department,Complaint,"Complaint,Support"
please help with the enterprise plan cost for our sales department,General Question,"Question,General"
could you share the enterprise plan cost for evaluation purposes,Support Request,"Support,Technical"
can you help me with the stop promotional emails for our company,Support Request,"Support,Technical"
i need assistance with the remove from mailing list before we make a decision,Support Request,"Support,Technical"
please help with the live demo session for our organization,Complaint,"Complaint,Support"
please help with the crm subscription price for our company,Demo Request,"Demo,Sales"
i would like to know the api availability for evaluation purposes,Not Interested,Unsubscribe
i need assistance with the password reset for our sales department,Support Request,"Support,Technical"
i want to understand the product demo for our internal tools,Demo Request,"Demo,Sales"
could you share the dashboard issue for our sales department,Complaint,"Complaint,Support"
i need assistance with the product demo as soon as possible,Pricing Inquiry,"Pricing,Sales"
i want to understand the login problem this week,Support Request,"Support,Technical"
i would like to know the system error for our organization,Support Request,"Support,Technical"
kindly send the product demo for our company,Support Request,"Support,Technical"
could you share the integration options for our sales department,Support Request,"Support,Technical"
i would like to know the dashboard issue this week,General Question,"Question,General"
please help with the crm subscription price for our organization,Not Interested,Unsubscribe
i want to understand the unsubscribe request for our organization,General Question,"Question,General"
could you share the password reset for our organization,General Question,"Question,General"
i want to understand the enterprise plan cost for our organization,General Question,"Question,General"
i need assistance with the platform walkthrough for evaluation purposes,Support Request,"Support,Technical"
i need assistance with the product demo before we make a decision,Not Interested,Unsubscribe
please provide the crm subscription price for our internal tools,Not Interested,Unsubscribe
can you help me with the account setup help for our company,Pricing Inquiry,"Pricing,Sales"
i want to understand the password reset this week,Pricing Inquiry,"Pricing,Sales"
kindly send the integration options for evaluation purposes,Not Interested,Unsubscribe
could you share the integration options this week,General Question,"Question,General"
kindly send the enterprise plan cost for our organization,Demo Request,"Demo,Sales"
kindly send the product demo for our startup team,Not Interested,Unsubscribe
can you explain the enterprise plan cost for our company,Demo Request,"Demo,Sales"
could you share the dashboard issue for evaluation purposes,Pricing Inquiry,"Pricing,Sales"
please provide the remove from mailing list for our internal tools,Demo Request,"Demo,Sales"
please help with the stop promotional emails for our sales department,Pricing Inquiry,"Pricing,Sales"
please help with the login problem before we make a decision,Pricing Inquiry,"Pricing,Sales"
could you share the login problem for our organization,General Question,"Question,General"
can you help me with the platform walkthrough for our internal tools,Complaint,"Complaint,Support"
can you explain the technical configuration help for evaluation purposes,Not Interested,Unsubscribe
i need assistance with the technical configuration help for evaluation purposes,Pricing Inquiry,"Pricing,Sales"
i would like to know the third party integrations for our internal tools,Pricing Inquiry,"Pricing,Sales"
could you share the account setup help as soon as possible,Pricing Inquiry,"Pricing,Sales"
i want to understand the api availability for our internal tools,General Question,"Question,General"
i need assistance with the remove from mailing list for our organization,Not Interested,Unsubscribe
i would like to know the stop promotional emails before we make a decision,Support Request,"Support,Technical"
i would like to know the login problem as soon as possible,Demo Request,"Demo,Sales"
i would like to know the api availability before we make a decision,General Question,"Question,General"
i would like to know the technical configuration help for our internal tools,Complaint,"Complaint,Support"
can you explain the system error for our organization,Not Interested,Unsubscribe
i would like to know the platform walkthrough for our company,Demo Request,"Demo,Sales"
please provide the account setup help for our organization,General Question,"Question,General"
i want to understand the live demo session for our company,General Question,"Question,General"
i would like to know the third party integrations for our sales department,Support Request,"Support,Technical"
please provide the account setup help as soon as possible,Pricing Inquiry,"Pricing,Sales"
kindly send the platform walkthrough for our organization,Demo Request,"Demo,Sales"
kindly send the remove from mailing list for our company,Not Interested,Unsubscribe
i would like to know the remove from mailing list for our company,Demo Request,"Demo,Sales"
please help with the product demo for our startup team,Demo Request,"Demo,Sales"
please help with the integration options for our startup team,General Question,"Question,General"
can you explain the dashboard issue before we make a decision,Not Interested,Unsubscribe
i would like to know the remove from mailing list for our internal tools,Pricing Inquiry,"Pricing,Sales"
i want to understand the enterprise plan cost before we make a decision,Complaint,"Complaint,Support"
can you explain the pricing details for our internal tools,Pricing Inquiry,"Pricing,Sales"
i want to understand the password reset for our startup team,Pricing Inquiry,"Pricing,Sales"
please provide the technical configuration help for our internal tools,Support Request,"Support,Technical"
please provide the dashboard issue before we make a decision,Pricing Inquiry,"Pricing,Sales"
kindly send the remove from mailing list this week,General Question,"Question,General"
i would like to know the platform walkthrough this week,Support Request,"Support,Technical"
please help with the live demo session for our internal tools,Pricing Inquiry,"Pricing,Sales"
kindly send the system error for evaluation purposes,Pricing Inquiry,"Pricing,Sales"
kindly send the pricing details for evaluation purposes,Demo Request,"Demo,Sales"
please help with the enterprise plan cost for our internal tools,Demo Request,"Demo,Sales"
could you share the pricing details for evaluation purposes,Pricing Inquiry,"Pricing,Sales"
can you help me with the api availability for our internal tools,Not Interested,Unsubscribe
can you explain the crm subscription price as soon as possible,Not Interested,Unsubscribe
please help with the crm subscription price for our sales department,Support Request,"Support,Technical"
can you help me with the pricing details this week,Not Interested,Unsubscribe
could you share the live demo session as soon as possible,Pricing Inquiry,"Pricing,Sales"
i want to understand the platform walkthrough for our company,General Question,"Question,General"
kindly send the password reset for our company,Demo Request,"Demo,Sales"
i want to understand the stop promotional emails for our internal tools,Complaint,"Complaint,Support"
i need assistance with the platform walkthrough for our startup team,Complaint,"Complaint,Support"
please provide the unsubscribe request this week,Support Request,"Support,Technical"
please help with the account setup help for evaluation purposes,Not Interested,Unsubscribe
can you explain the integration options for our organization,Demo Request,"Demo,Sales"
can you help me with the product demo for our organization,Complaint,"Complaint,Support"
i would like to know the system error for evaluation purposes,Pricing Inquiry,"Pricing,Sales"
kindly send the product demo for evaluation purposes,Demo Request,"Demo,Sales"
can you help me with the stop promotional emails for our sales department,Support Request,"Support,Technical"
can you explain the live demo session for our internal tools,Support Request,"Support,Technical"
please provide the platform walkthrough this week,Demo Request,"Demo,Sales"
i need assistance with the system error for our startup team,Not Interested,Unsubscribe
could you share the api availability before we make a decision,Complaint,"Complaint,Support"
kindly send the product demo as soon as possible,Pricing Inquiry,"Pricing,Sales"
i want to understand the system error for our organization,Not Interested,Unsubscribe
can you help me with the enterprise plan cost for our organization,Not Interested,Unsubscribe
i would like to know the dashboard issue for our sales department,Support Request,"Support,Technical"
could you share the crm subscription price before we make a decision,Demo Request,"Demo,Sales"
can you help me with the third party integrations for our company,Complaint,"Complaint,Support"
could you share the platform walkthrough for our internal tools,Complaint,"Complaint,Support"
could you share the system error for our sales department,Pricing Inquiry,"Pricing,Sales"
can you explain the crm subscription price before we make a decision,General Question,"Question,General"
i need assistance with the account setup help for our startup team,Support Request,"Support,Technical"
kindly send the system error as soon as possible,Complaint,"Complaint,Support"
i want to understand the product demo for our organization,Complaint,"Complaint,Support"
kindly send the crm subscription price for our startup team,General Question,"Question,General"
could you share the technical configuration help before we make a decision,General Question,"Question,General"
i want to understand the remove from mailing list for our startup team,General Question,"Question,General"
i would like to know the platform walkthrough as soon as possible,Complaint,"Complaint,Support"
kindly send the stop promotional emails for our organization,Not Interested,Unsubscribe
please help with the technical configuration help for our company,General Question,"Question,General"
could you share the remove from mailing list for our organization,Not Interested,Unsubscribe
kindly send the platform walkthrough for our sales department,Pricing Inquiry,"Pricing,Sales"
can you help me with the third party integrations for our organization,General Question,"Question,General"
please provide the remove from mailing list for our sales department,Complaint,"Complaint,Support"
please provide the login problem for our internal tools,Pricing Inquiry,"Pricing,Sales"
can you help me with the remove from mailing list as soon as possible,Not Interested,Unsubscribe
i need assistance with the api availability for evaluation purposes,Complaint,"Complaint,Support"
i need assistance with the login problem for our company,Demo Request,"Demo,Sales"
kindly send the third party integrations for our internal tools,Pricing Inquiry,"Pricing,Sales"
i want to understand the unsubscribe request as soon as possible,Pricing Inquiry,"Pricing,Sales"
please provide the enterprise plan cost for our startup team,General Question,"Question,General"
can you explain the stop promotional emails for our sales department,Demo Request,"Demo,Sales"
i want to understand the remove from mailing list before we make a decision,Support Request,"Support,Technical"
please help with the platform walkthrough for our organization,Demo Request,"Demo,Sales"
i want to understand the login problem for our company,General Question,"Question,General"
could you share the live demo session for evaluation purposes,Not Interested,Unsubscribe
please help with the account setup help this week,Support Request,"Support,Technical"
could you share the technical configuration help for our organization,Pricing Inquiry,"Pricing,Sales"
i want to understand the platform walkthrough for our organization,Demo Request,"Demo,Sales"
please help with the unsubscribe request for our startup team,Complaint,"Complaint,Support"
kindly send the pricing details for our sales department,Demo Request,"Demo,Sales"
can you help me with the pricing details before we make a decision,Not Interested,Unsubscribe
kindly send the live demo session this week,Pricing Inquiry,"Pricing,Sales"
can you explain the password reset before we make a decision,Demo Request,"Demo,Sales"
kindly send the integration options before we make a decision,Not Interested,Unsubscribe
i would like to know the login problem this week,Support Request,"Support,Technical"
can you help me with the system error for our sales department,Demo Request,"Demo,Sales"
kindly send the login problem for our startup team,Support Request,"Support,Technical"
i would like to know the live demo session for our organization,Complaint,"Complaint,Support"
can you explain the login problem this week,Demo Request,"Demo,Sales"
can you explain the login problem as soon as possible,Support Request,"Support,Technical"
can you explain the pricing details for our sales department,Not Interested,Unsubscribe
could you share the integration options for our startup team,Not Interested,Unsubscribe
please provide the product demo this week,Demo Request,"Demo,Sales"
please help with the password reset for evaluation purposes,Demo Request,"Demo,Sales"
i would like to know the stop promotional emails for evaluation purposes,Support Request,"Support,Technical"
please help with the enterprise plan cost for evaluation purposes,Pricing Inquiry,"Pricing,Sales"
please help with the login problem for our sales department,Complaint,"Complaint,Support"
could you share the unsubscribe request as soon as possible,Pricing Inquiry,"Pricing,Sales"
can you help me with the unsubscribe request before we make a decision,General Question,"Question,General"
can you explain the stop promotional emails for our company,Not Interested,Unsubscribe
can you help me with the login problem for our internal tools,Complaint,"Complaint,Support"
i would like to know the dashboard issue for our startup team,Not Interested,Unsubscribe
i need assistance with the login problem for our organization,Demo Request,"Demo,Sales"
i would like to know the login problem for our organization,Complaint,"Complaint,Support"
could you share the third party integrations before we make a decision,Demo Request,"Demo,Sales"
please provide the pricing details for our sales department,General Question,"Question,General"
please provide the enterprise plan cost this week,Complaint,"Complaint,Support"
i would like to know the password reset before we make a decision,Pricing Inquiry,"Pricing,Sales"
kindly send the enterprise plan cost for our startup team,Support Request,"Support,Technical"
i want to understand the platform walkthrough this week,Complaint,"Complaint,Support"
please provide the dashboard issue as soon as possible,General Question,"Question,General"
i would like to know the password reset this week,Demo Request,"Demo,Sales"
please help with the login problem for evaluation purposes,Support Request,"Support,Technical"
could you share the live demo session for our sales department,Demo Request,"Demo,Sales"
i would like to know the pricing details for our internal tools,Support Request,"Support,Technical"
please provide the password reset for evaluation purposes,Pricing Inquiry,"Pricing,Sales"
please provide the platform walkthrough for our internal tools,General Question,"Question,General"
i need assistance with the live demo session for our company,General Question,"Question,General"
please help with the remove from mailing list for our internal tools,General Question,"Question,General"
please help with the integration options for evaluation purposes,Support Request,"Support,Technical"
please provide the stop promotional emails for our company,Pricing Inquiry,"Pricing,Sales"
i would like to know the system error this week,Pricing Inquiry,"Pricing,Sales"
i would like to know the remove from mailing list this week,Support Request,"Support,Technical"
can you explain the dashboard issue for our company,Support Request,"Support,Technical"
can you explain the third party integrations for evaluation purposes,Demo Request,"Demo,Sales"
i would like to know the enterprise plan cost for our organization,Pricing Inquiry,"Pricing,Sales"
please provide the technical configuration help this week,Demo Request,"Demo,Sales"
i need assistance with the crm subscription price for our startup team,General Question,"Question,General"
i need assistance with the account setup help for our sales department,General Question,"Question,General"
i need assistance with the unsubscribe request for our organization,Support Request,"Support,Technical"
can you help me with the crm subscription price as soon as possible,Complaint,"Complaint,Support"
can you help me with the enterprise plan cost for our sales department,Not Interested,Unsubscribe
please provide the stop promotional emails for our internal tools,Complaint,"Complaint,Support"
i need assistance with the product demo for our organization,Complaint,"Complaint,Support"
i would like to know the integration options for our internal tools,General Question,"Question,General"
kindly send the third party integrations for our company,Pricing Inquiry,"Pricing,Sales"
could you share the unsubscribe request for our sales department,Support Request,"Support,Technical"
i would like to know the account setup help for our startup team,Support Request,"Support,Technical"
can you explain the login problem for our sales department,General Question,"Question,General"
i would like to know the product demo for evaluation purposes,Support Request,"Support,Technical"
can you help me with the live demo session this week,Complaint,"Complaint,Support"
please help with the login problem this week,Pricing Inquiry,"Pricing,Sales"
can you help me with the api availability for our organization,Support Request,"Support,Technical"
kindly send the unsubscribe request for our internal tools,General Question,"Question,General"
kindly send the enterprise plan cost for our internal tools,Pricing Inquiry,"Pricing,Sales"
can you help me with the password reset for our internal tools,Not Interested,Unsubscribe
please provide the remove from mailing list before we make a decision,Not Interested,Unsubscribe
please help with the system error for our company,General Question,"Question,General"
i would like to know the enterprise plan cost as soon as possible,Not Interested,Unsubscribe
can you help me with the stop promotional emails for our internal tools,Pricing Inquiry,"Pricing,Sales"
kindly send the platform walkthrough for our internal tools,Not Interested,Unsubscribe
i want to understand the technical configuration help for our sales department,Complaint,"Complaint,Support"
