email_text,intent,tags
we are not looking for a crm solution right now for our company,Not Interested,Unsubscribe
can you assist with setting up user roles for our company,Support Request,"Support,Technical"
we are interested in seeing a demo of your platform as soon as possible,Demo Request,"Demo,Sales"
please book a demo session for our team,Demo Request,"Demo,Sales"
what integrations are available with your crm,General Question,"Question,General"
"hi team, is it possible to get a quick demo of the crm features",Demo Request,"Demo,Sales"
i am facing issues while accessing the reporting page as soon as possible,Complaint,"Complaint,Support"
"hi team, could you send pricing for the premium package",Pricing Inquiry,"Pricing,Sales"
can your system integrate with slack,General Question,"Question,General"
is it possible to get a quick demo of the crm features as soon as possible,Demo Request,"Demo,Sales"
"hello, does your crm integrate with google workspace",General Question,"Question,General"
does the platform support third party integrations for our company,General Question,"Question,General"
the crm dashboard is not loading properly for our company,Complaint,"Complaint,Support"
"hi team, please stop sending promotional emails",Not Interested,Unsubscribe
i need help resetting my account password,Support Request,"Support,Technical"
"hello, i would like to schedule a demo for your crm",Demo Request,"Demo,Sales"
"hi team, is there an api available for integration",General Question,"Question,General"
your platform keeps crashing when exporting data,Complaint,"Complaint,Support"
what integrations are available with your crm,General Question,"Question,General"
"hi team, please book a demo session for our team",Demo Request,"Demo,Sales"
the crm dashboard is not loading properly as soon as possible,Complaint,"Complaint,Support"
"hello, please book a demo session for our team",Demo Request,"Demo,Sales"
does your crm integrate with google workspace for our company,General Question,"Question,General"
"hello, please stop sending promotional emails",Not Interested,Unsubscribe
does your crm integrate with google workspace,General Question,"Question,General"
can your system integrate with slack for our company,General Question,"Question,General"
we are experiencing frequent system errors as soon as possible,Complaint,"Complaint,Support"
"hi team, can you share pricing details for the enterprise plan",Pricing Inquiry,"Pricing,Sales"
please stop sending promotional emails,Not Interested,Unsubscribe
could you send pricing for the premium package as soon as possible,Pricing Inquiry,"Pricing,Sales"
i am facing issues while accessing the reporting page for our company,Complaint,"Complaint,Support"
i am facing issues while accessing the reporting page as soon as possible,Complaint,"Complaint,Support"
can we arrange a product demo this week as soon as possible,Demo Request,"Demo,Sales"
"hello, i need help resetting my account password",Support Request,"Support,Technical"
i am not interested in this service for our company,Not Interested,Unsubscribe
we are not looking for a crm solution right now for our company,Not Interested,Unsubscribe
does your crm integrate with google workspace,General Question,"Question,General"
"hi team, do you offer discounts for yearly subscriptions",Pricing Inquiry,"Pricing,Sales"
please help us resolve login issues for our company,Support Request,"Support,Technical"
i need technical support for configuring integrations for our company,Support Request,"Support,Technical"
"hi team, could you send pricing for the premium package",Pricing Inquiry,"Pricing,Sales"
i need technical support for configuring integrations for our company,Support Request,"Support,Technical"
how much does the enterprise crm plan cost as soon as possible,Pricing Inquiry,"Pricing,Sales"
is there an api available for integration as soon as possible,General Question,"Question,General"
can you assist with setting up user roles as soon as possible,Support Request,"Support,Technical"
"hi team, can you assist with setting up user roles",Support Request,"Support,Technical"
"hi team, the crm dashboard is not loading properly",Complaint,"Complaint,Support"
we are experiencing frequent system errors,Complaint,"Complaint,Support"
could you send pricing for the premium package for our company,Pricing Inquiry,"Pricing,Sales"
we are experiencing frequent system errors,Complaint,"Complaint,Support"
could you send pricing for the premium package as soon as possible,Pricing Inquiry,"Pricing,Sales"
we are experiencing frequent system errors,Complaint,"Complaint,Support"
please book a demo session for our team for our company,Demo Request,"Demo,Sales"
does your crm integrate with google workspace for our company,General Question,"Question,General"
"hello, is it possible to get a quick demo of the crm features",Demo Request,"Demo,Sales"
can you assist with setting up user roles for our company,Support Request,"Support,Technical"
your platform keeps crashing when exporting data as soon as possible,Complaint,"Complaint,Support"
does your crm integrate with google workspace,General Question,"Question,General"
"hello, is there an api available for integration",General Question,"Question,General"
what integrations are available with your crm,General Question,"Question,General"
"hi team, can you assist with setting up user roles",Support Request,"Support,Technical"
"hi team, we are experiencing frequent system errors",Complaint,"Complaint,Support"
"hi team, please remove me from your mailing list",Not Interested,Unsubscribe
i am facing issues while accessing the reporting page for our company,Complaint,"Complaint,Support"
we are not looking for a crm solution right now for our company,Not Interested,Unsubscribe
can we arrange a product demo this week,Demo Request,"Demo,Sales"
your platform keeps crashing when exporting data,Complaint,"Complaint,Support"
"hello, what is the cost of your crm for a small team",Pricing Inquiry,"Pricing,Sales"
"hello, does your crm integrate with google workspace",General Question,"Question,General"
"hi team, can you assist with setting up user roles",Support Request,"Support,Technical"
"hi team, how can i import my contacts into the crm",Support Request,"Support,Technical"
how can i import my contacts into the crm for our company,Support Request,"Support,Technical"
"hi team, does your crm integrate with google workspace",General Question,"Question,General"
the login page is not working for our team for our company,Complaint,"Complaint,Support"
"hi team, i would like to schedule a demo for your crm",Demo Request,"Demo,Sales"
please book a demo session for our team,Demo Request,"Demo,Sales"
we are not looking for a crm solution right now,Not Interested,Unsubscribe
please help us resolve login issues for our company,Support Request,"Support,Technical"
is there an api available for integration as soon as possible,General Question,"Question,General"
i am facing issues while accessing the reporting page,Complaint,"Complaint,Support"
we are interested in seeing a demo of your platform for our company,Demo Request,"Demo,Sales"
"hi team, please remove me from your mailing list",Not Interested,Unsubscribe
"hello, is there an api available for integration",General Question,"Question,General"
we are interested in seeing a demo of your platform as soon as possible,Demo Request,"Demo,Sales"
can your system integrate with slack for our company,General Question,"Question,General"
can we arrange a product demo this week,Demo Request,"Demo,Sales"
i need technical support for configuring integrations as soon as possible,Support Request,"Support,Technical"
your platform keeps crashing when exporting data for our company,Complaint,"Complaint,Support"
is it possible to get a quick demo of the crm features as soon as possible,Demo Request,"Demo,Sales"
please book a demo session for our team for our company,Demo Request,"Demo,Sales"
we are not looking for a crm solution right now,Not Interested,Unsubscribe
"hello, kindly unsubscribe me from future emails",Not Interested,Unsubscribe
"hello, does your crm integrate with google workspace",General Question,"Question,General"
we are interested in seeing a demo of your platform for our company,Demo Request,"Demo,Sales"
we are experiencing frequent system errors,Complaint,"Complaint,Support"
"hello, please remove me from your mailing list",Not Interested,Unsubscribe
we are experiencing frequent system errors,Complaint,"Complaint,Support"
we are experiencing frequent system errors for our company,Complaint,"Complaint,Support"
please help us resolve login issues for our company,Support Request,"Support,Technical"
"hi team, kindly unsubscribe me from future emails",Not Interested,Unsubscribe
please remove me from your mailing list as soon as possible,Not Interested,Unsubscribe
we are experiencing frequent system errors as soon as possible,Complaint,"Complaint,Support"
do you offer discounts for yearly subscriptions,Pricing Inquiry,"Pricing,Sales"
what integrations are available with your crm,General Question,"Question,General"
we are interested in seeing a demo of your platform for our company,Demo Request,"Demo,Sales"
we are interested in seeing a demo of your platform as soon as possible,Demo Request,"Demo,Sales"
could you send pricing for the premium package,Pricing Inquiry,"Pricing,Sales"
can you assist with setting up user roles for our company,Support Request,"Support,Technical"
can you share pricing details for the enterprise plan as soon as possible,Pricing Inquiry,"Pricing,Sales"
do you offer discounts for yearly subscriptions,Pricing Inquiry,"Pricing,Sales"
do you offer discounts for yearly subscriptions for our company,Pricing Inquiry,"Pricing,Sales"
"hello, could you send pricing for the premium package",Pricing Inquiry,"Pricing,Sales"
"hi team, can your system integrate with slack",General Question,"Question,General"
do you offer discounts for yearly subscriptions,Pricing Inquiry,"Pricing,Sales"
"hello, what is the cost of your crm for a small team",Pricing Inquiry,"Pricing,Sales"
can you share pricing details for the enterprise plan for our company,Pricing Inquiry,"Pricing,Sales"
i would like to schedule a demo for your crm,Demo Request,"Demo,Sales"
is there an api available for integration as soon as possible,General Question,"Question,General"
"hello, the crm dashboard is not loading properly",Complaint,"Complaint,Support"
"hello, i am facing issues while accessing the reporting page",Complaint,"Complaint,Support"
please remove me from your mailing list,Not Interested,Unsubscribe
what is the cost of your crm for a small team as soon as possible,Pricing Inquiry,"Pricing,Sales"
"hi team, please help us resolve login issues",Support Request,"Support,Technical"
i need technical support for configuring integrations as soon as possible,Support Request,"Support,Technical"
"hi team, can you assist with setting up user roles",Support Request,"Support,Technical"
can your system integrate with slack as soon as possible,General Question,"Question,General"
please help us resolve login issues for our company,Support Request,"Support,Technical"
is it possible to get a quick demo of the crm features,Demo Request,"Demo,Sales"
"hi team, please help us resolve login issues",Support Request,"Support,Technical"
"hi team, can you assist with setting up user roles",Support Request,"Support,Technical"
"hello, i would like to schedule a demo for your crm",Demo Request,"Demo,Sales"
"hi team, can you assist with setting up user roles",Support Request,"Support,Technical"
does your crm integrate with google workspace,General Question,"Question,General"
"hi team, we are not looking for a crm solution right now",Not Interested,Unsubscribe
can you assist with setting up user roles as soon as possible,Support Request,"Support,Technical"
i am not interested in this service as soon as possible,Not Interested,Unsubscribe
the crm dashboard is not loading properly for our company,Complaint,"Complaint,Support"
"hello, your platform keeps crashing when exporting data",Complaint,"Complaint,Support"
"hello, is it possible to get a quick demo of the crm features",Demo Request,"Demo,Sales"
"hi team, i am not interested in this service",Not Interested,Unsubscribe
can we arrange a product demo this week for our company,Demo Request,"Demo,Sales"
"hello, what is the cost of your crm for a small team",Pricing Inquiry,"Pricing,Sales"
could you send pricing for the premium package as soon as possible,Pricing Inquiry,"Pricing,Sales"
"hi team, does the platform support third party integrations",General Question,"Question,General"
"hi team, do you offer discounts for yearly subscriptions",Pricing Inquiry,"Pricing,Sales"
your platform keeps crashing when exporting data,Complaint,"Complaint,Support"
please help us resolve login issues for our company,Support Request,"Support,Technical"
please stop sending promotional emails,Not Interested,Unsubscribe
"hello, i need technical support for configuring integrations",Support Request,"Support,Technical"
i am facing issues while accessing the reporting page,Complaint,"Complaint,Support"
please help us resolve login issues,Support Request,"Support,Technical"
"hello, what is the cost of your crm for a small team",Pricing Inquiry,"Pricing,Sales"
what integrations are available with your crm as soon as possible,General Question,"Question,General"
the crm dashboard is not loading properly for our company,Complaint,"Complaint,Support"
we are not looking for a crm solution right now as soon as possible,Not Interested,Unsubscribe
"hello, could you send pricing for the premium package",Pricing Inquiry,"Pricing,Sales"
"hello, your platform keeps crashing when exporting data",Complaint,"Complaint,Support"
please stop sending promotional emails for our company,Not Interested,Unsubscribe
"hi team, do you offer discounts for yearly subscriptions",Pricing Inquiry,"Pricing,Sales"
please help us resolve login issues,Support Request,"Support,Technical"
does the platform support third party integrations for our company,General Question,"Question,General"
is it possible to get a quick demo of the crm features as soon as possible,Demo Request,"Demo,Sales"
"hi team, how can i import my contacts into the crm",Support Request,"Support,Technical"
is it possible to get a quick demo of the crm features,Demo Request,"Demo,Sales"
please remove me from your mailing list for our company,Not Interested,Unsubscribe
do you offer discounts for yearly subscriptions for our company,Pricing Inquiry,"Pricing,Sales"
"hi team, do you offer discounts for yearly subscriptions",Pricing Inquiry,"Pricing,Sales"
"hello, please remove me from your mailing list",Not Interested,Unsubscribe
please help us resolve login issues for our company,Support Request,"Support,Technical"
i need technical support for configuring integrations as soon as possible,Support Request,"Support,Technical"
"hi team, can we arrange a product demo this week",Demo Request,"Demo,Sales"
"hello, i need help resetting my account password",Support Request,"Support,Technical"
how much does the enterprise crm plan cost for our company,Pricing Inquiry,"Pricing,Sales"
"hello, does your crm integrate with google workspace",General Question,"Question,General"
we are interested in seeing a demo of your platform,Demo Request,"Demo,Sales"
does the platform support third party integrations for our company,General Question,"Question,General"
can you assist with setting up user roles for our company,Support Request,"Support,Technical"
what integrations are available with your crm,General Question,"Question,General"
"hello, do you offer discounts for yearly subscriptions",Pricing Inquiry,"Pricing,Sales"
please stop sending promotional emails for our company,Not Interested,Unsubscribe
please remove me from your mailing list as soon as possible,Not Interested,Unsubscribe
"hello, what integrations are available with your crm",General Question,"Question,General"
"hello, can you share pricing details for the enterprise plan",Pricing Inquiry,"Pricing,Sales"
"hello, can you share pricing details for the enterprise plan",Pricing Inquiry,"Pricing,Sales"
can you assist with setting up user roles for our company,Support Request,"Support,Technical"
"hi team, we are experiencing frequent system errors",Complaint,"Complaint,Support"
can you share pricing details for the enterprise plan as soon as possible,Pricing Inquiry,"Pricing,Sales"
we are not looking for a crm solution right now for our company,Not Interested,Unsubscribe
we are interested in seeing a demo of your platform as soon as possible,Demo Request,"Demo,Sales"
can your system integrate with slack as soon as possible,General Question,"Question,General"
"hi team, please stop sending promotional emails",Not Interested,Unsubscribe
is it possible to get a quick demo of the crm features for our company,Demo Request,"Demo,Sales"
"hello, i am not interested in this service",Not Interested,Unsubscribe
"hi team, your platform keeps crashing when exporting data",Complaint,"Complaint,Support"
"hi team, we are interested in seeing a demo of your platform",Demo Request,"Demo,Sales"
"hi team, please remove me from your mailing list",Not Interested,Unsubscribe
please stop sending promotional emails as soon as possible,Not Interested,Unsubscribe
what is the cost of your crm for a small team for our company,Pricing Inquiry,"Pricing,Sales"
"hello, do you offer discounts for yearly subscriptions",Pricing Inquiry,"Pricing,Sales"
"hello, please book a demo session for our team",Demo Request,"Demo,Sales"
is it possible to get a quick demo of the crm features,Demo Request,"Demo,Sales"
"hi team, is it possible to get a quick demo of the crm features",Demo Request,"Demo,Sales"
"hi team, can you share pricing details for the enterprise plan",Pricing Inquiry,"Pricing,Sales"
"hi team, we are interested in seeing a demo of your platform",Demo Request,"Demo,Sales"
what integrations are available with your crm as soon as possible,General Question,"Question,General"
i need help resetting my account password as soon as possible,Support Request,"Support,Technical"
we are not looking for a crm solution right now as soon as possible,Not Interested,Unsubscribe
can we arrange a product demo this week,Demo Request,"Demo,Sales"
can your system integrate with slack,General Question,"Question,General"
"hello, i am not interested in this service",Not Interested,Unsubscribe
we are interested in seeing a demo of your platform as soon as possible,Demo Request,"Demo,Sales"
how can i import my contacts into the crm,Support Request,"Support,Technical"
"hello, your platform keeps crashing when exporting data",Complaint,"Complaint,Support"
"hi team, please stop sending promotional emails",Not Interested,Unsubscribe
can your system integrate with slack as soon as possible,General Question,"Question,General"
we are not looking for a crm solution right now as soon as possible,Not Interested,Unsubscribe
i need technical support for configuring integrations,Support Request,"Support,Technical"
is it possible to get a quick demo of the crm features as soon as possible,Demo Request,"Demo,Sales"
"hello, what is the cost of your crm for a small team",Pricing Inquiry,"Pricing,Sales"
could you send pricing for the premium package as soon as possible,Pricing Inquiry,"Pricing,Sales"
can you share pricing details for the enterprise plan for our company,Pricing Inquiry,"Pricing,Sales"
is there an api available for integration for our company,General Question,"Question,General"
please remove me from your mailing list as soon as possible,Not Interested,Unsubscribe
please help us resolve login issues for our company,Support Request,"Support,Technical"
please help us resolve login issues,Support Request,"Support,Technical"
please stop sending promotional emails as soon as possible,Not Interested,Unsubscribe
"hello, the crm dashboard is not loading properly",Complaint,"Complaint,Support"
what is the cost of your crm for a small team for our company,Pricing Inquiry,"Pricing,Sales"
how can i import my contacts into the crm,Support Request,"Support,Technical"
please stop sending promotional emails,Not Interested,Unsubscribe
we are not looking for a crm solution right now as soon as possible,Not Interested,Unsubscribe
"hello, can your system integrate with slack",General Question,"Question,General"
what is the cost of your crm for a small team as soon as possible,Pricing Inquiry,"Pricing,Sales"
"hello, we are interested in seeing a demo of your platform",Demo Request,"Demo,Sales"
does the platform support third party integrations,General Question,"Question,General"
"hello, is there an api available for integration",General Question,"Question,General"
i would like to schedule a demo for your crm for our company,Demo Request,"Demo,Sales"
"hi team, how much does the enterprise crm plan cost",Pricing Inquiry,"Pricing,Sales"
"hello, your platform keeps crashing when exporting data",Complaint,"Complaint,Support"
"hi team, the login page is not working for our team",Complaint,"Complaint,Support"
please book a demo session for our team,Demo Request,"Demo,Sales"
what is the cost of your crm for a small team as soon as possible,Pricing Inquiry,"Pricing,Sales"
"hello, i am facing issues while accessing the reporting page",Complaint,"Complaint,Support"
"hello, please help us resolve login issues",Support Request,"Support,Technical"
"hello, i am not interested in this service",Not Interested,Unsubscribe
could you send pricing for the premium package for our company,Pricing Inquiry,"Pricing,Sales"
the crm dashboard is not loading properly as soon as possible,Complaint,"Complaint,Support"
"hello, i am facing issues while accessing the reporting page",Complaint,"Complaint,Support"
i am not interested in this service,Not Interested,Unsubscribe
the crm dashboard is not loading properly as soon as possible,Complaint,"Complaint,Support"
i need help resetting my account password for our company,Support Request,"Support,Technical"
what is the cost of your crm for a small team as soon as possible,Pricing Inquiry,"Pricing,Sales"
please book a demo session for our team for our company,Demo Request,"Demo,Sales"
could you send pricing for the premium package for our company,Pricing Inquiry,"Pricing,Sales"
"hi team, we are interested in seeing a demo of your platform",Demo Request,"Demo,Sales"
"hi team, we are interested in seeing a demo of your platform",Demo Request,"Demo,Sales"
the login page is not working for our team,Complaint,"Complaint,Support"
"hi team, i would like to schedule a demo for your crm",Demo Request,"Demo,Sales"
"hi team, how much does the enterprise crm plan cost",Pricing Inquiry,"Pricing,Sales"
can you share pricing details for the enterprise plan for our company,Pricing Inquiry,"Pricing,Sales"
can your system integrate with slack for our company,General Question,"Question,General"
your platform keeps crashing when exporting data as soon as possible,Complaint,"Complaint,Support"
the login page is not working for our team,Complaint,"Complaint,Support"
"hi team, we are interested in seeing a demo of your platform",Demo Request,"Demo,Sales"
do you offer discounts for yearly subscriptions as soon as possible,Pricing Inquiry,"Pricing,Sales"
please stop sending promotional emails for our company,Not Interested,Unsubscribe
"hi team, can your system integrate with slack",General Question,"Question,General"
"hello, please book a demo session for our team",Demo Request,"Demo,Sales"
we are not looking for a crm solution right now for our company,Not Interested,Unsubscribe
please stop sending promotional emails for our company,Not Interested,Unsubscribe
can you share pricing details for the enterprise plan for our company,Pricing Inquiry,"Pricing,Sales"
the crm dashboard is not loading properly,Complaint,"Complaint,Support"
the crm dashboard is not loading properly as soon as possible,Complaint,"Complaint,Support"
i need technical support for configuring integrations for our company,Support Request,"Support,Technical"
"hello, we are interested in seeing a demo of your platform",Demo Request,"Demo,Sales"
i am facing issues while accessing the reporting page as soon as possible,Complaint,"Complaint,Support"
"hi team, can you share pricing details for the enterprise plan",Pricing Inquiry,"Pricing,Sales"
"hello, can your system integrate with slack",General Question,"Question,General"
"hello, is it possible to get a quick demo of the crm features",Demo Request,"Demo,Sales"
"hello, can you assist with setting up user roles",Support Request,"Support,Technical"
is there an api available for integration,General Question,"Question,General"
"hello, i need technical support for configuring integrations",Support Request,"Support,Technical"
what is the cost of your crm for a small team as soon as possible,Pricing Inquiry,"Pricing,Sales"
please stop sending promotional emails as soon as possible,Not Interested,Unsubscribe
can you assist with setting up user roles,Support Request,"Support,Technical"
your platform keeps crashing when exporting data for our company,Complaint,"Complaint,Support"
"hi team, is there an api available for integration",General Question,"Question,General"
can your system integrate with slack,General Question,"Question,General"
does your crm integrate with google workspace as soon as possible,General Question,"Question,General"
please remove me from your mailing list,Not Interested,Unsubscribe
"hello, please stop sending promotional emails",Not Interested,Unsubscribe
"hi team, please help us resolve login issues",Support Request,"Support,Technical"
"hi team, please help us resolve login issues",Support Request,"Support,Technical"
is it possible to get a quick demo of the crm features,Demo Request,"Demo,Sales"
is it possible to get a quick demo of the crm features as soon as possible,Demo Request,"Demo,Sales"
could you send pricing for the premium package,Pricing Inquiry,"Pricing,Sales"
what integrations are available with your crm for our company,General Question,"Question,General"
"hi team, your platform keeps crashing when exporting data",Complaint,"Complaint,Support"
i am not interested in this service as soon as possible,Not Interested,Unsubscribe
we are experiencing frequent system errors,Complaint,"Complaint,Support"
what is the cost of your crm for a small team,Pricing Inquiry,"Pricing,Sales"
i would like to schedule a demo for your crm,Demo Request,"Demo,Sales"
can you assist with setting up user roles for our company,Support Request,"Support,Technical"
can you assist with setting up user roles as soon as possible,Support Request,"Support,Technical"
"hi team, how can i import my contacts into the crm",Support Request,"Support,Technical"
can you assist with setting up user roles for our company,Support Request,"Support,Technical"
"hi team, please book a demo session for our team",Demo Request,"Demo,Sales"
what is the cost of your crm for a small team for our company,Pricing Inquiry,"Pricing,Sales"
does your crm integrate with google workspace as soon as possible,General Question,"Question,General"
does the platform support third party integrations,General Question,"Question,General"
does your crm integrate with google workspace for our company,General Question,"Question,General"
what is the cost of your crm for a small team for our company,Pricing Inquiry,"Pricing,Sales"
please book a demo session for our team as soon as possible,Demo Request,"Demo,Sales"
"hello, how can i import my contacts into the crm",Support Request,"Support,Technical"
we are interested in seeing a demo of your platform,Demo Request,"Demo,Sales"
what is the cost of your crm for a small team as soon as possible,Pricing Inquiry,"Pricing,Sales"
"hi team, we are experiencing frequent system errors",Complaint,"Complaint,Support"
"hi team, i need technical support for configuring integrations",Support Request,"Support,Technical"
please book a demo session for our team,Demo Request,"Demo,Sales"
is there an api available for integration for our company,General Question,"Question,General"
"hello, please remove me from your mailing list",Not Interested,Unsubscribe
what is the cost of your crm for a small team for our company,Pricing Inquiry,"Pricing,Sales"
"hello, please help us resolve login issues",Support Request,"Support,Technical"
does the platform support third party integrations for our company,General Question,"Question,General"
"hello, how can i import my contacts into the crm",Support Request,"Support,Technical"
your platform keeps crashing when exporting data,Complaint,"Complaint,Support"
can you assist with setting up user roles,Support Request,"Support,Technical"
"hi team, i am not interested in this service",Not Interested,Unsubscribe
"hi team, can you assist with setting up user roles",Support Request,"Support,Technical"
i am facing issues while accessing the reporting page for our company,Complaint,"Complaint,Support"
"hello, does the platform support third party integrations",General Question,"Question,General"
"hello, please help us resolve login issues",Support Request,"Support,Technical"
please help us resolve login issues for our company,Support Request,"Support,Technical"
can your system integrate with slack,General Question,"Question,General"
how much does the enterprise crm plan cost,Pricing Inquiry,"Pricing,Sales"
your platform keeps crashing when exporting data for our company,Complaint,"Complaint,Support"
your platform keeps crashing when exporting data as soon as possible,Complaint,"Complaint,Support"
"hello, does your crm integrate with google workspace",General Question,"Question,General"
we are interested in seeing a demo of your platform as soon as possible,Demo Request,"Demo,Sales"
i am not interested in this service,Not Interested,Unsubscribe
i am not interested in this service for our company,Not Interested,Unsubscribe
"hi team, can you assist with setting up user roles",Support Request,"Support,Technical"
"hi team, i am not interested in this service",Not Interested,Unsubscribe
please book a demo session for our team for our company,Demo Request,"Demo,Sales"
we are interested in seeing a demo of your platform as soon as possible,Demo Request,"Demo,Sales"
can you share pricing details for the enterprise plan as soon as possible,Pricing Inquiry,"Pricing,Sales"
we are not looking for a crm solution right now as soon as possible,Not Interested,Unsubscribe
can we arrange a product demo this week as soon as possible,Demo Request,"Demo,Sales"
i would like to schedule a demo for your crm,Demo Request,"Demo,Sales"
"hello, what is the cost of your crm for a small team",Pricing Inquiry,"Pricing,Sales"
does the platform support third party integrations for our company,General Question,"Question,General"
the login page is not working for our team as soon as possible,Complaint,"Complaint,Support"
"hi team, your platform keeps crashing when exporting data",Complaint,"Complaint,Support"
"hi team, could you send pricing for the premium package",Pricing Inquiry,"Pricing,Sales"
can your system integrate with slack,General Question,"Question,General"
"hi team, we are not looking for a crm solution right now",Not Interested,Unsubscribe
what is the cost of your crm for a small team,Pricing Inquiry,"Pricing,Sales"
kindly unsubscribe me from future emails as soon as possible,Not Interested,Unsubscribe
"hello, we are experiencing frequent system errors",Complaint,"Complaint,Support"
i need help resetting my account password,Support Request,"Support,Technical"
does your crm integrate with google workspace,General Question,"Question,General"
"hi team, can your system integrate with slack",General Question,"Question,General"
how can i import my contacts into the crm as soon as possible,Support Request,"Support,Technical"
"hello, do you offer discounts for yearly subscriptions",Pricing Inquiry,"Pricing,Sales"
"hi team, i need technical support for configuring integrations",Support Request,"Support,Technical"
your platform keeps crashing when exporting data,Complaint,"Complaint,Support"
your platform keeps crashing when exporting data for our company,Complaint,"Complaint,Support"
"hi team, i need help resetting my account password",Support Request,"Support,Technical"
"hi team, is there an api available for integration",General Question,"Question,General"
does the platform support third party integrations,General Question,"Question,General"
we are interested in seeing a demo of your platform for our company,Demo Request,"Demo,Sales"
can we arrange a product demo this week as soon as possible,Demo Request,"Demo,Sales"
"hi team, please stop sending promotional emails",Not Interested,Unsubscribe
"hello, we are experiencing frequent system errors",Complaint,"Complaint,Support"
do you offer discounts for yearly subscriptions for our company,Pricing Inquiry,"Pricing,Sales"
kindly unsubscribe me from future emails for our company,Not Interested,Unsubscribe
"hi team, we are interested in seeing a demo of your platform",Demo Request,"Demo,Sales"
"hi team, please stop sending promotional emails",Not Interested,Unsubscribe
i am facing issues while accessing the reporting page for our company,Complaint,"Complaint,Support"
does the platform support third party integrations,General Question,"Question,General"
could you send pricing for the premium package for our company,Pricing Inquiry,"Pricing,Sales"
"hi team, the login page is not working for our team",Complaint,"Complaint,Support"
is there an api available for integration for our company,General Question,"Question,General"
"hi team, can your system integrate with slack",General Question,"Question,General"
"hi team, please remove me from your mailing list",Not Interested,Unsubscribe
we are not looking for a crm solution right now for our company,Not Interested,Unsubscribe
"hi team, could you send pricing for the premium package",Pricing Inquiry,"Pricing,Sales"
please remove me from your mailing list as soon as possible,Not Interested,Unsubscribe
we are interested in seeing a demo of your platform for our company,Demo Request,"Demo,Sales"
"hello, is it possible to get a quick demo of the crm features",Demo Request,"Demo,Sales"
what integrations are available with your crm,General Question,"Question,General"
"hi team, the crm dashboard is not loading properly",Complaint,"Complaint,Support"
can your system integrate with slack for our company,General Question,"Question,General"
the login page is not working for our team as soon as possible,Complaint,"Complaint,Support"
i need technical support for configuring integrations for our company,Support Request,"Support,Technical"
can you assist with setting up user roles,Support Request,"Support,Technical"
can your system integrate with slack as soon as possible,General Question,"Question,General"
does the platform support third party integrations for our company,General Question,"Question,General"
i need help resetting my account password,Support Request,"Support,Technical"
kindly unsubscribe me from future emails,Not Interested,Unsubscribe
can you assist with setting up user roles,Support Request,"Support,Technical"
"hi team, how much does the enterprise crm plan cost",Pricing Inquiry,"Pricing,Sales"
is it possible to get a quick demo of the crm features,Demo Request,"Demo,Sales"
"hi team, i am facing issues while accessing the reporting page",Complaint,"Complaint,Support"
we are interested in seeing a demo of your platform as soon as possible,Demo Request,"Demo,Sales"
the login page is not working for our team for our company,Complaint,"Complaint,Support"
can your system integrate with slack as soon as possible,General Question,"Question,General"
"hello, how much does the enterprise crm plan cost",Pricing Inquiry,"Pricing,Sales"
"hello, please help us resolve login issues",Support Request,"Support,Technical"
